2026-03-07 21:46:04,501 | INFO     | src.data_loader | Loading ARFF dataset from: <_io.BytesIO object at 0x7445befa5210>
2026-03-07 21:46:09,902 | INFO     | src.model_training | Best model: LogisticRegression (val_accuracy=1.0000)
2026-03-07 21:46:10,348 | INFO     | src.evaluation | [LogisticRegression] acc=1.0000  prec=1.0000  rec=1.0000  f1=1.0000  auc=1.0000
2026-03-07 21:46:10,380 | INFO     | src.evaluation | [RandomForest] acc=1.0000  prec=1.0000  rec=1.0000  f1=1.0000  auc=1.0000
2026-03-07 21:46:10,386 | INFO     | src.evaluation | [SVM] acc=1.0000  prec=1.0000  rec=1.0000  f1=1.0000  auc=1.0000
2026-03-07 21:46:10,394 | INFO     | src.evaluation | [GradientBoosting] acc=1.0000  prec=1.0000  rec=1.0000  f1=1.0000  auc=1.0000
2026-03-07 23:20:14,644 | INFO     | src.preprocess | ─── Preprocessing pipeline start ───
2026-03-07 23:20:14,649 | INFO     | src.preprocess | Columns after rename: ['age', 'blood_pressure', 'specific_gravity', 'albumin', 'sugar', 'red_blood_cells', 'pus_cell', 'pus_cell_clumps', 'bacteria', 'blood_glucose_random', 'blood_urea', 'serum_creatinine', 'sodium', 'potassium', 'hemoglobin', 'packed_cell_volume', 'white_blood_cell_count', 'red_blood_cell_count', 'hypertension', 'diabetes_mellitus', 'coronary_artery_disease', 'appetite', 'pedal_edema', 'anemia', 'class']
2026-03-07 23:20:14,657 | INFO     | src.preprocess | No features exceeded the 20% missing threshold.
2026-03-07 23:20:14,737 | INFO     | src.preprocess | Running KNN imputation (k=5) on 24 features …
2026-03-07 23:20:14,741 | INFO     | src.preprocess | Splitting dataset — train: 70%, val: 15%, test: 15% (n=120)
2026-03-07 23:20:14,747 | INFO     | src.preprocess | Split sizes — train: 84, val: 18, test: 18
2026-03-07 23:20:14,747 | INFO     | src.preprocess | Applying Z-score StandardScaler (fit on train only) …
2026-03-07 23:20:14,748 | INFO     | src.preprocess | Applying SMOTE to training set (before: 84 samples, classes: {np.int64(0): np.int64(32), np.int64(1): np.int64(52)}) …
2026-03-07 23:20:14,865 | INFO     | src.preprocess | After SMOTE: 104 samples, classes: {np.int64(0): np.int64(52), np.int64(1): np.int64(52)}
2026-03-07 23:20:14,865 | INFO     | src.preprocess | Running LASSO (L1) feature selection (C=0.100) …
2026-03-07 23:20:14,867 | INFO     | src.preprocess | LASSO selected 4 / 24 features: ['age', 'blood_pressure', 'hypertension', 'appetite']
2026-03-07 23:20:14,867 | INFO     | src.preprocess | ─── Preprocessing pipeline complete ───
2026-03-07 23:20:17,294 | INFO     | src.model_training | XGBoost available — included in model suite.
2026-03-07 23:20:17,294 | INFO     | src.model_training | LightGBM available — included in model suite.
2026-03-07 23:20:17,294 | INFO     | src.model_training | [1/4] Training LinearSVM …
2026-03-07 23:27:26,804 | INFO     | src.preprocess | ─── Preprocessing pipeline start ───
2026-03-07 23:27:26,805 | INFO     | src.preprocess | Columns after rename: ['age', 'blood_pressure', 'specific_gravity', 'albumin', 'sugar', 'red_blood_cells', 'pus_cell', 'pus_cell_clumps', 'bacteria', 'blood_glucose_random', 'blood_urea', 'serum_creatinine', 'sodium', 'potassium', 'hemoglobin', 'packed_cell_volume', 'white_blood_cell_count', 'red_blood_cell_count', 'hypertension', 'diabetes_mellitus', 'coronary_artery_disease', 'appetite', 'pedal_edema', 'anemia', 'class']
2026-03-07 23:27:26,810 | INFO     | src.preprocess | No features exceeded the 20% missing threshold.
2026-03-07 23:27:27,039 | INFO     | src.preprocess | Running KNN imputation (k=5) on 24 features …
2026-03-07 23:27:27,048 | INFO     | src.preprocess | Splitting dataset — train: 70%, val: 15%, test: 15% (n=120)
2026-03-07 23:27:27,052 | INFO     | src.preprocess | Split sizes — train: 84, val: 18, test: 18
2026-03-07 23:27:27,053 | INFO     | src.preprocess | Applying Z-score StandardScaler (fit on train only) …
2026-03-07 23:27:27,054 | INFO     | src.preprocess | Applying SMOTE to training set (before: 84 samples, classes: {np.int64(0): np.int64(32), np.int64(1): np.int64(52)}) …
2026-03-07 23:27:27,177 | INFO     | src.preprocess | After SMOTE: 104 samples, classes: {np.int64(0): np.int64(52), np.int64(1): np.int64(52)}
2026-03-07 23:27:27,180 | INFO     | src.preprocess | Running LASSO (L1) feature selection (C=0.100) …
2026-03-07 23:27:27,185 | INFO     | src.preprocess | LASSO selected 4 / 24 features: ['age', 'blood_pressure', 'hypertension', 'appetite']
2026-03-07 23:27:27,186 | INFO     | src.preprocess | ─── Preprocessing pipeline complete ───
2026-03-07 23:27:27,305 | INFO     | src.model_training | XGBoost available — included in model suite.
2026-03-07 23:27:27,305 | INFO     | src.model_training | LightGBM available — included in model suite.
2026-03-07 23:27:27,306 | INFO     | src.model_training | [1/4] Training LinearSVM …
2026-03-07 23:28:06,629 | INFO     | src.preprocess | ─── Preprocessing pipeline start ───
2026-03-07 23:28:06,631 | INFO     | src.preprocess | Columns after rename: ['age', 'blood_pressure', 'specific_gravity', 'albumin', 'sugar', 'red_blood_cells', 'pus_cell', 'pus_cell_clumps', 'bacteria', 'blood_glucose_random', 'blood_urea', 'serum_creatinine', 'sodium', 'potassium', 'hemoglobin', 'packed_cell_volume', 'white_blood_cell_count', 'red_blood_cell_count', 'hypertension', 'diabetes_mellitus', 'coronary_artery_disease', 'appetite', 'pedal_edema', 'anemia', 'class']
2026-03-07 23:28:06,638 | INFO     | src.preprocess | No features exceeded the 20% missing threshold.
2026-03-07 23:28:06,875 | INFO     | src.preprocess | Running KNN imputation (k=5) on 24 features …
2026-03-07 23:28:06,887 | INFO     | src.preprocess | Splitting dataset — train: 70%, val: 15%, test: 15% (n=120)
2026-03-07 23:28:06,898 | INFO     | src.preprocess | Split sizes — train: 84, val: 18, test: 18
2026-03-07 23:28:06,898 | INFO     | src.preprocess | Applying Z-score StandardScaler (fit on train only) …
2026-03-07 23:28:06,900 | INFO     | src.preprocess | Applying SMOTE to training set (before: 84 samples, classes: {np.int64(0): np.int64(32), np.int64(1): np.int64(52)}) …
2026-03-07 23:28:07,046 | INFO     | src.preprocess | After SMOTE: 104 samples, classes: {np.int64(0): np.int64(52), np.int64(1): np.int64(52)}
2026-03-07 23:28:07,046 | INFO     | src.preprocess | Running LASSO (L1) feature selection (C=0.100) …
2026-03-07 23:28:07,050 | INFO     | src.preprocess | LASSO selected 4 / 24 features: ['age', 'blood_pressure', 'hypertension', 'appetite']
2026-03-07 23:28:07,051 | INFO     | src.preprocess | ─── Preprocessing pipeline complete ───
2026-03-07 23:28:07,213 | INFO     | src.model_training | XGBoost available — included in model suite.
2026-03-07 23:28:07,213 | INFO     | src.model_training | LightGBM available — included in model suite.
2026-03-07 23:28:07,213 | INFO     | src.model_training | [1/4] Training LinearSVM …
2026-03-07 23:28:10,386 | INFO     | src.model_training | LinearSVM — best_params={'C': 0.1}  val_recall=0.3636  val_acc=0.3889  elapsed=3.2s
2026-03-07 23:28:10,386 | INFO     | src.model_training | [2/4] Training ExtraTrees …
2026-03-07 23:28:10,731 | INFO     | src.model_training | ExtraTrees — best_params={'n_estimators': 10}  val_recall=0.3636  val_acc=0.3889  elapsed=0.3s
2026-03-07 23:28:10,731 | INFO     | src.model_training | [3/4] Training XGBoost …
2026-03-07 23:28:10,982 | INFO     | src.model_training | XGBoost — best_params={'max_depth': 3, 'n_estimators': 10}  val_recall=0.2727  val_acc=0.3889  elapsed=0.2s
2026-03-07 23:28:10,982 | INFO     | src.model_training | [4/4] Training LightGBM …
2026-03-07 23:28:12,592 | INFO     | src.model_training | LightGBM — best_params={'n_estimators': 10, 'num_leaves': 15}  val_recall=0.5455  val_acc=0.5000  elapsed=1.6s
2026-03-07 23:28:13,303 | INFO     | src.evaluation | [LinearSVM] acc=0.4444  prec=0.6000  rec=0.2727  f1=0.3750  auc=0.6364
2026-03-07 23:28:13,333 | INFO     | src.evaluation | [ExtraTrees] acc=0.6111  prec=0.7000  rec=0.6364  f1=0.6667  auc=0.5519
2026-03-07 23:28:13,341 | INFO     | src.evaluation | [XGBoost] acc=0.6111  prec=0.7500  rec=0.5455  f1=0.6316  auc=0.6753
2026-03-07 23:28:13,351 | INFO     | src.evaluation | [LightGBM] acc=0.5000  prec=0.6250  rec=0.4545  f1=0.5263  auc=0.4416
2026-03-07 23:28:13,354 | INFO     | src.model_training | Best model: LightGBM (val_recall=0.5455)
2026-03-07 23:28:13,364 | INFO     | src.feature_analysis | Plotting LASSO coefficient magnitudes …
2026-03-07 23:28:13,641 | INFO     | src.feature_analysis | Computing PCA (2 components) …
